사업자번호,address,industry,ind_rank,payroll,new_payroll,employee,employment,resignation,cmp_years
1148529996,"대전 유성구 테크노2로 187, 301호-303호",그 외 기타 의료용 기기 제조업,,,,,,,
1148531134,,,,,,,,,
1148531847,,,,,,,,,
1148531944,,,,,,,,,
1148532171,"서울 종로구 종로33길 31, 1층",서양식 음식점업,,,,,,,
1148532453,"서울 강남구 봉은사로1길 39, 5층,6층",(G46313)육류 도매업,7,"~ 4,000만원 미만","~ 4,000만원 미만",700명 이상 ~ 1000명 미만,31.43 % (99                                            명),30.79 % (97                                            명),28 년
1148532579,,,,,,,,,
1148532695,"경기 화성시 동탄산단9길 23-12, 8층",(J58222)응용 소프트웨어 개발 및 공급업,5,"4,000만원 이상 ~ 6,000만원 미만","~ 4,000만원 미만",100명 이상 ~ 200명 미만,25.51 % (25                                            명),122.45 % (120                                            명),19 년
1148533340,,,,,,,,,
1148533904,,,,,,,,,
1148534960,"서울 강남구 영동대로 701, 16층",(G46417)의복 액세서리 및 모조 장신구 도매업,5,"~ 4,000만원 미만","~ 4,000만원 미만",70명 이상 ~ 100명 미만,43.90 % (36                                            명),39.02 % (32                                            명),25 년
1148535315,"인천 중구 모랫말로 36-22, 1층",(G46314)건어물 및 젓갈류 도매업,6,"~ 4,000만원 미만","~ 4,000만원 미만",-,0.00 % (0                                            명),0.00 % (0                                            명),14 년
1148536575,,,,,,,,,
1148601127,경기 안양시 만안구 일직로106번길 12,(G46533)공작용 기계 및 장비 도매업,5,"4,000만원 이상 ~ 6,000만원 미만","~ 4,000만원 미만",40명 이상 ~ 70명 미만,10.42 % (5                                            명),8.33 % (4                                            명),22 년
1148601317,"서울 서초구 강남대로93길 9, 3층",(J58111)교과서 및 학습서적 출판업,6,"~ 4,000만원 미만","~ 4,000만원 미만",40명 이상 ~ 70명 미만,23.91 % (11                                            명),23.91 % (11                                            명),22 년
1148602922,"서울 강남구 테헤란로68길 11, 2층",(L68112)비주거용 건물 임대업,6,"~ 4,000만원 미만","~ 4,000만원 미만",1명 이상 ~ 20명 미만,60.00 % (3                                            명),60.00 % (3                                            명),22 년
1148603542,"서울 서초구 방배로4길 6, 2층 201호",유리 및 창호 공사업,,,,,,,
1148603810,경기 이천시 모가면 공원로 64,(R91121)골프장 운영업,5,"~ 4,000만원 미만","~ 4,000만원 미만",20명 이상 ~ 40명 미만,22.22 % (8                                            명),22.22 % (8                                            명),23 년
1148605410,서울 서초구 남부순환로 2141,(L68112)비주거용 건물 임대업,6,"~ 4,000만원 미만","~ 4,000만원 미만",-,- % (2                                            명),- % (2                                            명),22 년
1148605588,서울 강남구 역삼로 223,응용 소프트웨어 개발 및 공급업,,,,,,,
1148606118,"경기 안양시 동안구 흥안대로439번길 8, 6층",(C26329)기타 주변기기 제조업,6,"6,000만원 이상 ~ 8,000만원 미만","4,000만원 이상 ~ 6,000만원 미만",1명 이상 ~ 20명 미만,18.75 % (3                                            명),31.25 % (5                                            명),21 년
1148606122,서울 서초구 서초대로 94,(G47112)대형 마트,5,"4,000만원 이상 ~ 6,000만원 미만","~ 4,000만원 미만",70명 이상 ~ 100명 미만,30.53 % (29                                            명),46.32 % (44                                            명),22 년
1148611630,"서울 강남구 언주로 647, 6층",(M71310)광고 대행업,4,"4,000만원 이상 ~ 6,000만원 미만","~ 4,000만원 미만",40명 이상 ~ 70명 미만,16.33 % (8                                            명),34.69 % (17                                            명),21 년
1148612129,서울 서초구 서운로26길 9,(J58222)응용 소프트웨어 개발 및 공급업,5,"~ 4,000만원 미만","~ 4,000만원 미만",100명 이상 ~ 200명 미만,70.11 % (61                                            명),49.43 % (43                                            명),21 년
1148612487,"서울 서초구 방배로 188, 4층",(L68129)기타 부동산 개발 및 공급업,6,"~ 4,000만원 미만","~ 4,000만원 미만",1명 이상 ~ 20명 미만,33.33 % (1                                            명),33.33 % (1                                            명),21 년
1148614001,"서울 서초구 서초대로 131, 2층",(F42110)건물 및 구축물 해체 공사업,7,"4,000만원 이상 ~ 6,000만원 미만","~ 4,000만원 미만",20명 이상 ~ 40명 미만,21.21 % (7                                            명),33.33 % (11                                            명),21 년
1148614369,경기 안성시 대덕면 미륵로 149,(C29172)공기 조화장치 제조업,5,"~ 4,000만원 미만","~ 4,000만원 미만",20명 이상 ~ 40명 미만,50.00 % (9                                            명),22.22 % (4                                            명),21 년
1148615164,인천 남동구 남동서로 92,화장품 제조업,,,,,,,
1148616159,"서울 금천구 벚꽃로 298, 20층",(C14112)여자용 겉옷 제조업,5,"~ 4,000만원 미만","~ 4,000만원 미만",70명 이상 ~ 100명 미만,53.33 % (48                                            명),52.22 % (47                                            명),20 년
1148617537,"서울 영등포구 당산로41길 11, 424호",(J62010)컴퓨터 프로그래밍 서비스업,5,"~ 4,000만원 미만","~ 4,000만원 미만",-,11.11 % (2                                            명),100.00 % (18                                            명),20 년
1148618706,"경기 안양시 동안구 시민대로 401, 1211호 ,1212호",통신ㆍ방송장비 및 부품 도매업,,,,,,,
1148620008,"경기 용인시 처인구 모현읍 왕담로 145-17, 2층,3층",(C20499)그 외 기타 분류 안된 화학제품 제조업,5,"~ 4,000만원 미만","~ 4,000만원 미만",100명 이상 ~ 200명 미만,68.63 % (70                                            명),101.96 % (104                                            명),20 년
1148620269,"서울 구로구 디지털로34길 55, 코오롱사이언스밸리 2차 806호 10",(J58211)유선 온라인 게임 소프트웨어 개발 및 공급업,5,"~ 4,000만원 미만","~ 4,000만원 미만",-,0.00 % (0                                            명),0.00 % (0                                            명),20 년
1148620463,"서울 용산구 원효로 138, 13층 1301호",자동차용 전용 신품 부품 판매업,,,,,,,
1148620537,서울 서초구 서초중앙로29길 16,(N75121)임시 및 일용 인력 공급업,7,"~ 4,000만원 미만","~ 4,000만원 미만",200명 이상 ~ 400명 미만,50.91 % (112                                            명),82.73 % (182                                            명),20 년
1148621195,"서울 마포구 성암로 330, A동 512호",애니메이션 영화 및 비디오물 제작업,,,,,,,
1148621399,서울 서초구 방배로 143,(F42139)기타 옥외 시설물 축조 관련 전문공사업,7,"~ 4,000만원 미만","~ 4,000만원 미만",40명 이상 ~ 70명 미만,16.67 % (4                                            명),54.17 % (13                                            명),20 년
1148621778,"서울 금천구 가산디지털1로 212, 1206,1207,1208,1209,1210호",(C27199)그 외 기타 의료용 기기 제조업,4,"4,000만원 이상 ~ 6,000만원 미만","~ 4,000만원 미만",100명 이상 ~ 200명 미만,32.65 % (32                                            명),28.57 % (28                                            명),20 년
1148622554,서울 서초구 남부순환로319길 14,"(G46510)컴퓨터 및 주변장치, 소프트웨어 도매업",6,"4,000만원 이상 ~ 6,000만원 미만","~ 4,000만원 미만",40명 이상 ~ 70명 미만,30.00 % (15                                            명),18.00 % (9                                            명),20 년
1148623489,"서울 강남구 도산대로55길 24, 3층,4층",(G46800)상품 종합 도매업,5,"~ 4,000만원 미만","~ 4,000만원 미만",200명 이상 ~ 400명 미만,173.47 % (340                                            명),131.63 % (258                                            명),20 년
